advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Saulus-Lähetys ry		1464414800517500	Facebook	w014	Week 14	FI	Finland	1	1	2715	543	53	0
Simo Grönroos	Gronroos Simo Juhani	445988248775782	Facebook	w014	Week 14	FI	Finland	2	1	2539	507	50	0
Raija Vahasalo		1477675525856183	Facebook	w014	Week 14	FI	Finland	1	1	2499	500	49	0
Riikka Taivassalo		794024017641033	Facebook	w014	Week 14	FI	Finland	1	1	2499	500	49	0
Jukka Paananen		1441184239228051	Facebook	w014	Week 14	FI	Finland	1	1	2499	1250	24	0
Sallamaarit Markkanen		421504341243048	Facebook	w014	Week 14	FI	Finland	1	1	2499	500	49	0
Liberaalipuolue		474666389342298	Facebook	w014	Week 14	FI	Finland	1	1	2499	500	49	0
Äänioikeus.fi		753565071658403	Facebook	w014	Week 14	FI	Finland	1	1	2499	500	49	0
Kansalainen		900256336721631	Facebook	w014	Week 14	FI	Finland	1	1	2497	499	49	0
SSAB AB		145401631365	Facebook	w014	Week 14	FI	Finland	6	1	2437	443	65	0
MajorJouni		627257697458528	Facebook	w014	Week 14	FI	Finland	1	1	2332	466	46	0
Mira-Veera Auer		801383166639929	Facebook	w014	Week 14	FI	Finland	1	1	2332	466	46	0
Esa Aalto		793503910735496	Facebook	w014	Week 14	FI	Finland	1	1	2272	454	45	0
Markus Myllyniemi eduskuntaan		393536527693016	Facebook	w014	Week 14	FI	Finland	1	1	2257	1129	19	0
Petri Nieminen		221546168309213	Facebook	w014	Week 14	FI	Finland	1	1	2222	1111	110	22
Pirkanmaan Vasemmisto		117594328411158	Facebook	w014	Week 14	FI	Finland	1	1	2187	437	43	0
Otso Kivekäs		213103298804538	Facebook	w014	Week 14	FI	Finland	1	1	2187	437	43	0
Katju Aro		1833156153607042	Facebook	w014	Week 14	FI	Finland	1	1	1999	1000	19	0
Inka Hopsu		168275609876566	Facebook	w014	Week 14	FI	Finland	1	1	1999	1000	22	0
Ilona Toivanen		280794296054480	Facebook	w014	Week 14	FI	Finland	2	1	1998	0	198	0
Juha-Pekka Rusanen		1059456500783143	Facebook	w014	Week 14	FI	Finland	2	1	1998	0	198	0
Laura Ala-Kokko		115745171909257	Facebook	w014	Week 14	FI	Finland	2	1	1930	0	191	0
Alexandr Kliucharev-Foy		368931117025269	Facebook	w014	Week 14	FI	Finland	1	1	1817	363	36	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	w014	Week 14	FI	Finland	25	1	1812	837	2	1
