advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Vasile Cristian Lungu - Senator PMP	Partidul Mișcarea Populară	167669676772029	Facebook	m	male	RO	Romania	8	1	522696	212711	2536	1088
Gregoriana Tudoran	Tudoran Gregoriana Carmen	1985293741779690	Facebook	m	male	RO	Romania	16	1	521683	108902	870	156
Viorel Catarama	Dreapta Liberala	795022763862618	Facebook	m	male	RO	Romania	5	1	504270	251637	1368	432
USR Maramureș	USR Maramureș	1750327845246533	Facebook	m	male	RO	Romania	10	1	483697	193065	1461	372
Romania #nuepsd	Future Innovation	293215748279337	Facebook	m	male	RO	Romania	1	1	480487	240244	504	100
Erdélyi magyarok Orbán Viktor mellett	Erdélyi magyarok Orbán Viktor mellett	1537537942983268	Facebook	m	male	RO	Romania	37	1	474323	110569	1075	180
Greenpeace Romania	Greenpeace Romania	291132089193	Facebook	m	male	RO	Romania	26	1	471108	139900	867	132
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	m	male	RO	Romania	1	1	464656	232328	976	488
Kárpát-medencei Magyar Összefogás	Kárpát-medencei Magyar Összefogás	221361328752151	Facebook	m	male	RO	Romania	41	1	453040	123703	924	130
PNL Bucuresti	Rus Alexandra	678840505584990	Facebook	m	male	RO	Romania	15	1	446228	129587	905	214
Nicu Ștefănuță	Uniunea Salvați România - USR	279454772645662	Facebook	m	male	RO	Romania	9	1	422546	167190	598	174
USR Prahova	USR Prahova	1385405838141456	Facebook	m	male	RO	Romania	23	1	421238	129154	1022	221
Cosette Chichirău	Uniunea Salvați România - USR	329619180721358	Facebook	m	male	RO	Romania	5	1	420792	185713	1560	333
Raluca Turcan	ETIS Design	360184320712594	Facebook	m	male	RO	Romania	5	1	416613	199605	360	119
Simona Maria Vlădica	Amerisoft	236992636715917	Facebook	m	male	RO	Romania	6	1	403114	192334	460	165
USR Olt	ANTON SILVIU-CRISTIAN	247245385651467	Facebook	m	male	RO	Romania	10	1	391362	151133	665	209
Eugen Tomac	Amerisoft	494469087244449	Facebook	m	male	RO	Romania	8	1	388025	171773	436	171
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	m	male	RO	Romania	16	1	384472	125167	1402	407
USR Sector 6	Uniunea Salvati Romania	1656475137918717	Facebook	m	male	RO	Romania	14	1	370684	141423	1011	391
Dacian Cioloş	PLUS	107543802616247	Facebook	m	male	RO	Romania	1	1	354363	141745	744	148
Mihai Goţiu	Uniunea Salvați România	602280189818804	Facebook	m	male	RO	Romania	10	1	349197	122375	597	117
Pavel Emilian		1557836147771248	Facebook	m	male	RO	Romania	10	1	347282	107250	605	158
Ionel Arsene	Ionel Arsene	298765223557508	Facebook	m	male	RO	Romania	14	1	342151	125065	681	195
Legyen ELÉG	Legyen Elég	1500893963467932	Facebook	m	male	RO	Romania	17	1	338632	92708	675	149
Litere.net	litere.net	1504323906337545	Facebook	m	male	RO	Romania	1	1	334171	133668	140	70
USR Constanța	Uniunea Salvați România filiala Constanta	698760586929790	Facebook	m	male	RO	Romania	2	1	329966	141097	980	196
George Simion	George Simion	2212856535602171	Facebook	m	male	RO	Romania	12	1	328908	114704	1210	321
USR Galați	Uniunea Salvați România	174434106304018	Facebook	m	male	RO	Romania	24	1	307212	70548	693	106
Virgil Popescu	POPESCU VIRGIL-DANIEL	1641765056062575	Facebook	m	male	RO	Romania	7	1	290470	97107	629	121
USR Tineret		360833174410777	Facebook	m	male	RO	Romania	2	1	277339	138670	750	150
Daniel Buda	ETIS Design	220579784732993	Facebook	m	male	RO	Romania	2	1	276268	138134	220	89
Adrian-Claudiu Prisnel	Uniunea Salvați Romania	259825811088447	Facebook	m	male	RO	Romania	6	1	260841	101106	1523	426
Cristian Chirteș	EUROPA DNS	309525925854654	Facebook	m	male	RO	Romania	17	1	258665	63312	330	32
Raluca Amariei	USR Sibiu	183087692172986	Facebook	m	male	RO	Romania	7	1	256874	118451	1390	331
Rares Bogdan	ETIS Design	204397909629079	Facebook	m	male	RO	Romania	1	1	253523	101409	106	53
Departamentul pentru Turism - Partidul Social Democrat	Partidul Social Democrat	339973510194748	Facebook	m	male	RO	Romania	1	1	242795	97118	50	10
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare	Partidul Social Democrat	2006803969624108	Facebook	m	male	RO	Romania	1	1	241832	96733	50	10
Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	m	male	RO	Romania	1	1	237788	95115	99	49
Kelemen Hunor	RMDSZ	175293925828191	Facebook	m	male	RO	Romania	12	1	232984	76772	419	95
Ionel Bogdan	Rus Alexandra	1449284915381234	Facebook	m	male	RO	Romania	13	1	215420	44309	408	73
Adrian Mocanu	Mocanu Adrian	1750234035208501	Facebook	m	male	RO	Romania	6	1	214950	85611	386	128
USR Teleorman	Partidul "Uniunea Salvati Romania"	694605284013356	Facebook	m	male	RO	Romania	5	1	204230	76121	304	61
USR Sector 3	USR Sector 3	1658924257659048	Facebook	m	male	RO	Romania	10	1	191423	57641	1021	231
Partidul Social Democrat - Departamentul pentru românii de pretutindeni	Partidul Social Democrat	315931009106788	Facebook	m	male	RO	Romania	2	1	190247	95124	99	19
Aresel		292847028010932	Facebook	m	male	RO	Romania	2	1	190089	95045	618	123
USR Hunedoara	Uniunea Salvați România - USR	250986431933338	Facebook	m	male	RO	Romania	4	1	188371	76991	262	90
Consiliul Național PSD	Partidul Social Democrat	428923027871330	Facebook	m	male	RO	Romania	2	1	180000	90000	94	18
USR Mehedinți	Uniunea Salvați România	1763484467225604	Facebook	m	male	RO	Romania	8	1	178711	37568	331	58
PMP TV	Amerisoft	958364000868431	Facebook	m	male	RO	Romania	1	1	174410	87205	91	18
European Free Alliance	European Free Alliance	46708306425	Facebook	m	male	RO	Romania	1	1	173957	86978	869	173
USR Sighetu Marmației	USR Maramureș	166649027305554	Facebook	m	male	RO	Romania	4	1	165730	75939	639	154
Gabriel Daraban	Dumio	170290960472201	Facebook	m	male	RO	Romania	23	1	165415	56843	435	100
ALDE - Partidul Alianta Liberalilor si Democratilor Constanta	Dumio	1573385822939865	Facebook	m	male	RO	Romania	5	1	161624	48248	339	101
ALDE  Prahova	Love to Advertise	1598333033752067	Facebook	m	male	RO	Romania	5	1	161531	66071	353	138
ALDE BACĂU - Partidul Alianța Liberalilor și Democraților	Partidul Alianța Liberalilor și Democraților - ALDE	535445976897124	Facebook	m	male	RO	Romania	7	1	161020	58126	369	153
Adrian Miuțescu	ETIS Design	1992712767649895	Facebook	m	male	RO	Romania	3	1	160712	71841	274	100
Dreapta Liberală - DL	Dreapta Liberala	1881461575305499	Facebook	m	male	RO	Romania	3	1	153923	51445	975	239
USR Caraș-Severin	Uniunea Salvați România	1556903897946498	Facebook	m	male	RO	Romania	8	1	149965	45240	319	60
