advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Matteo Orfini	Matteo Orfini	252959821498182	Facebook	65_	65+	IT	Italy	3	1	32387	6477	237	34
Andrea Rossi	Andrea Rossi	405291650226189	Facebook	65_	65+	IT	Italy	46	1	32339	8282	319	4
Maurizio Lupi	Maurizio Lupi	81698998693	Facebook	65_	65+	IT	Italy	6	1	32093	10435	242	0
Gabriele Molinari		814724875223586	Facebook	65_	65+	IT	Italy	2	1	31873	13132	205	41
Daniele Vergini Candidato Sindaco M5S	Daniele Vergini	415104189237042	Facebook	65_	65+	IT	Italy	12	1	31677	7415	180	0
Matias Eduardo DIAZ Crescitelli	Matias Eduardo Diaz Crescitelli	166286387478761	Facebook	65_	65+	IT	Italy	11	1	31618	8142	207	0
European Free Alliance	European Free Alliance	46708306425	Facebook	65_	65+	IT	Italy	5	1	30931	14238	275	50
Roberta Mori | Pagina Ufficiale	Roberta Mori	147196482067133	Facebook	65_	65+	IT	Italy	3	1	30886	15009	185	27
Simone Di Stefano		294385027332061	Facebook	65_	65+	IT	Italy	2	1	30869	12917	72	11
Tiziana Beghin	Valentina Trogu	235501579990278	Facebook	65_	65+	IT	Italy	3	1	30671	6134	163	25
Gian Carlo Muzzarelli per Modena	Gian Carlo Muzzarelli per Modena	647691558631437	Facebook	65_	65+	IT	Italy	9	1	30557	14215	164	22
Luciano Pizzoni Sindaco	Luciano Pizzoni Sindaco	2408453165855171	Facebook	65_	65+	IT	Italy	15	1	30393	6176	167	0
Sergio Tommasini Sindaco	Sergio Tommasini Sindaco	220805388637106	Facebook	65_	65+	IT	Italy	8	1	30356	6071	246	41
Roberto Calderoli	Roberto Calderoli	31662384470	Facebook	65_	65+	IT	Italy	2	1	30162	6032	59	0
La Sinistra Lazio	Carlo Tarantola	326405431406323	Facebook	65_	65+	IT	Italy	7	1	30149	9697	216	0
Filippo Occhipinti - Europee 2019 Sicilia e Sardegna	Francesco Anzelmo	367806660496884	Facebook	65_	65+	IT	Italy	4	1	29975	6563	110	0
Eugenio Casalino Candidato M5S Elezioni Europee	Eugenio Casalino	478151665571968	Facebook	65_	65+	IT	Italy	3	1	29529	6762	191	27
Marco Mes - Candidato M5S Europa	Marco Mesmaeker	328031081240402	Facebook	65_	65+	IT	Italy	2	1	28963	11938	186	37
Agostino Ghiglia		40186632839	Facebook	65_	65+	IT	Italy	7	1	28695	6697	253	21
Stefano ALLASIA		236105246410631	Facebook	65_	65+	IT	Italy	3	1	28631	5726	66	0
Carte D'Or	Unilever	554943434517746	Facebook	65_	65+	IT	Italy	2	1	28449	5690	283	56
Andrea Tremaglia	Andrea Tremaglia	322495193464	Facebook	65_	65+	IT	Italy	17	1	27902	7942	250	0
Enrico Rossi	Enrico Rossi	197611081853	Facebook	65_	65+	IT	Italy	5	1	27708	6750	199	0
CIWF Italia	CIWF Italia	576664002355828	Facebook	65_	65+	IT	Italy	15	1	27493	5374	204	0
Vallì Cipriani in Europa	Lara Braga	318177105538166	Facebook	65_	65+	IT	Italy	7	1	27442	7015	221	18
Alessandra Moretti	Alessandra Moretti	527503853928339	Facebook	65_	65+	IT	Italy	2	1	26869	5373	268	53
Moderati	Giacomo  Portas	726634620770719	Facebook	65_	65+	IT	Italy	4	1	26664	5333	121	0
Christian di Feo - Candidato M5S Europa	Christian Di Feo	496884204178162	Facebook	65_	65+	IT	Italy	4	1	26588	5317	70	0
Cosimo Guccione per Firenze	Cosimo Guccione	1425237984394334	Facebook	65_	65+	IT	Italy	10	1	26188	5757	250	0
Luigi Genesio Icardi	Luigi Genesio Icardi	994935290896984	Facebook	65_	65+	IT	Italy	7	1	26088	7388	108	0
Michele Facci	Alessandro Buscaroli	181747745203690	Facebook	65_	65+	IT	Italy	3	1	25674	6044	74	0
Carlo Guccione	Gennaro Alessandro Alessio	731200573630420	Facebook	65_	65+	IT	Italy	2	1	25534	9939	99	16
Saverio Romano	Francesco Romano Saverio 	694946377308093	Facebook	65_	65+	IT	Italy	3	1	25243	5048	49	0
Alfredo Posteraro	SocialCom	408876889953275	Facebook	65_	65+	IT	Italy	3	1	24677	5844	185	28
Matteo Gagliasso	Matteo Gagliasso	1546887325441954	Facebook	65_	65+	IT	Italy	7	1	24626	9603	138	12
Moet	Stefano Maullu	1427921947227478	Facebook	65_	65+	IT	Italy	1	1	24369	12184	121	24
Furio Honsell	Davide Bressan	534334929944459	Facebook	65_	65+	IT	Italy	1	1	24358	12179	60	12
Laura Agea Portavoce Eurodeputata M5S	Laura Agea Portavoce Eurodeputata M5S	1423738397876993	Facebook	65_	65+	IT	Italy	1	1	24123	12062	120	24
Paola Di Salvatore	Paola Di Salvatore	647488052330193	Facebook	65_	65+	IT	Italy	4	1	24013	4802	72	0
Giampietro Angelini	Noi per Norcia	635335283545677	Facebook	65_	65+	IT	Italy	4	1	23831	4766	243	46
Matteo Tosetto	Matteo Tosetto 	285899292122830	Facebook	65_	65+	IT	Italy	3	1	23333	7986	177	35
Osservatorio21	Osservatorio21	191761041227486	Facebook	65_	65+	IT	Italy	2	1	23168	4633	174	32
Maria Angela Danzì	Maria Angela Danzì	2159331584155901	Facebook	65_	65+	IT	Italy	2	1	23004	5230	62	0
Giuseppe Cossalter	Giuseppe Cossalter	1981132658773307	Facebook	65_	65+	IT	Italy	4	1	22701	11278	16	0
Raffaele Stancanelli		195210777191994	Facebook	65_	65+	IT	Italy	1	1	22654	11327	113	22
Roberta Rigon	Roberta Rigon 	152060405498608	Facebook	65_	65+	IT	Italy	7	1	22547	4882	107	0
