platform_code_filter	platform_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	350.org		12185972707	Facebook	84	1	3102916	803000	15235	1958
f	Facebook	Pablo Iglesias	Unidas Podemos	414809308591481	Facebook	4	1	3099996	1550000	105496	21100
f	Facebook	European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	9	1	3099991	1370000	1291	100
f	Facebook	eToro		193863317737	Facebook	23	1	3090977	1314000	7901	1958
f	Facebook	Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	18	1	3079982	1262000	4582	700
f	Facebook	Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	101	1	3068899	1181000	13599	900
f	Facebook	Aides énergétiques pour tous		789578834730248	Facebook	16	1	3064984	1256000	35684	8000
f	Facebook	Fotografiska Stockholm		142320852554	Facebook	10	1	3054990	1331000	2221	500
f	Facebook	TRT World		1559901027613381	Facebook	8	1	3049992	1460000	817	297
f	Facebook	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	14	1	3049986	1330000	15486	5500
f	Facebook	Bundesregierung		768905426534529	Facebook	5	1	2999995	1300000	24995	5000
f	Facebook	Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	130	1	2979870	998000	40205	11260
f	Facebook	Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	76	1	2971924	1022000	8724	300
f	Facebook	Labour Future	Labour Future	112846662487263	Facebook	24	1	2970976	1316000	24041	4860
f	Facebook	Tuxy		870667836405958	Facebook	13	1	2953987	1310000	13527	3450
f	Facebook	Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	45	1	2953955	1169000	15255	2700
f	Facebook	Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	212	1	2945788	796000	26588	1400
f	Facebook	Esquerra Barcelona	Esquerra Barcelona	374070875952519	Facebook	25	1	2940975	1277000	14075	3500
