advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Netzwerk Grüne Arbeitswelt		480966102335983	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Ventura Campervans	Ventura Campervans	167682197228432	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
G4 Media		425074431631411	Facebook	rw4	Last 4 weeks	1	1	49999	10000	104	21
Instytut na rzecz Kultury Prawnej Ordo Iuris		1407603489492838	Facebook	rw4	Last 4 weeks	1	1	49999	10000	116	23
TOWA - Transparency for Organic Wine Association		423471171178460	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
SOMI - El Vendrell		2143817912369349	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
亞強創新研發		235450769850202	Facebook	rw4	Last 4 weeks	1	1	49999	10000	28	14
Nevolighter		1007045269487662	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Henrik Hamann		336612176987417	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
Sandra Kalniete		363128980541199	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Fairy Dust Fans		901216890040274	Facebook	rw4	Last 4 weeks	1	1	49999	10000	889	445
Last Stop Brexit		820489154977103	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Un sogno nel cuore		377827993050715	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
EU Civil Protection & Humanitarian Aid - ECHO		146955527905	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
PRO România Caraș Severin		470604043362128	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Grupo Romando		368386283751545	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Starea Nației		426113450797591	Facebook	rw4	Last 4 weeks	1	1	49999	10000	20	0
Squirrels Antiques	Alan Harvey Stone	309405686175567	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Charles Kaisin		1373021049422742	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Finlayson		201736349984	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Quilla		323226697733982	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Falca Gheorghe		215405775174990	Facebook	rw4	Last 4 weeks	1	1	49999	10000	104	21
Miguel Urbán		697784876962128	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Prof Luca Avagnina		1081529978655352	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Partito Democratico del Lazio		809541855778354	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Gadgets Hype		373386893086224	Facebook	rw4	Last 4 weeks	1	1	49999	10000	444	89
PRO România Iași		178910372800102	Facebook	rw4	Last 4 weeks	1	1	49999	10000	20	0
Tony Devenish		822932591420992	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Piraten Bezierk Osten		141480992729926	Facebook	rw4	Last 4 weeks	1	1	49999	10000	498	100
World Global Warming		328760981289640	Facebook	rw4	Last 4 weeks	1	1	49999	10000	65	0
International Monetary Fund		152292984850728	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Solutions Énergétiques de France		146021859351766	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Fabio Stanzione Films		726587880688406	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Huzău Mihai		1473256882891685	Facebook	rw4	Last 4 weeks	1	1	49999	10000	20	0
Γιώργος Χριστοφορίδης		1523771647899219	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
tegut...		107484069279333	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Ellevio		840264879353861	Facebook	rw4	Last 4 weeks	1	1	49999	10000	462	92
Luděk Niedermayer		1395881230682843	Facebook	rw4	Last 4 weeks	1	1	49999	10000	194	38
Rachel Maclean MP	Independent Parliamentary Standards Authority	1700506176913718	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
BBC News Russian		190992343324	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
USR Vâlcea		513441665508224	Facebook	rw4	Last 4 weeks	1	1	49999	10000	104	21
Marina Gradišer	Demokrati	343303249641233	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Remix_app		333348107210059	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
John Peter Longstaff 4 Mayor	John Peter Longstaff	433061414106606	Facebook	rw4	Last 4 weeks	1	1	49999	9999	577	115
ItaliaStar Magazine		432322907138432	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Populars Vila-real		447233345319164	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Expose.ro		510817996110975	Facebook	rw4	Last 4 weeks	1	1	49999	9999	104	21
Ελληνική σημαία		407830792962925	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Black bizz		313056699104239	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Mon avis citoyen		466932616850613	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
