advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Alexander Hannes	CSU Kreisverband Regen	287380818788155	Facebook	35_44	35-44	DE	Germany	1	1	102	0	10	0
Corinna Miazga	Corinna Miazga	1720472504912063	Facebook	35_44	35-44	DE	Germany	1	1	101	0	10	0
Luigi Pantisano	Luigi Pantisano	1006758069529993	Facebook	35_44	35-44	DE	Germany	1	1	98	0	9	0
Bündnis 90/Die Grünen Kreisverband Barnim	Torsten Eckart Wiebke	2095662597197606	Facebook	35_44	35-44	DE	Germany	1	1	98	0	9	0
FDP NRW	FDP NRW	282800387209	Facebook	35_44	35-44	DE	Germany	1	1	96	0	9	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	35_44	35-44	DE	Germany	4	1	96	26	0	0
CDU Lohmar	CDU Lohmar	870550286426379	Facebook	35_44	35-44	DE	Germany	1	1	93	0	9	0
Energiewirtschaft einfach	Carsten Eckart 	2314352768828496	Facebook	35_44	35-44	DE	Germany	1	1	90	0	8	0
SPD Friedrichshafen	Luca Elias Baumann	227497950644482	Facebook	35_44	35-44	DE	Germany	1	1	88	0	8	0
Jusos Pinneberg	Jusos Pinneberg	68141565265	Facebook	35_44	35-44	DE	Germany	1	1	84	16	1	0
Grüne Frankenthal	Bündnis 90/Die Grünen Kreisverband Frankenthal	1890824571150959	Facebook	35_44	35-44	DE	Germany	1	1	72	0	7	0
Junge Union Mannheim	Junge Union Mannheim	403423809690190	Facebook	35_44	35-44	DE	Germany	2	1	51	0	5	0
Jakob Schäuble	FDP Ingolstadt	1873283949575191	Facebook	35_44	35-44	DE	Germany	2	1	45	0	4	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	35_44	35-44	DE	Germany	2	1	40	8	0	0
Jonas Bruns	Jonas Bruns	2138908233101805	Facebook	35_44	35-44	DE	Germany	1	1	40	0	4	0
FDP Bielefeld	Jan-Maik Schlifter De La Fontaine	153467308073688	Facebook	35_44	35-44	DE	Germany	1	1	38	0	3	0
CDH liste à la Chambre province de Liège	CDH - Centre Démocrate Humaniste	268478507423505	Facebook	35_44	35-44	DE	Germany	3	1	19	3	0	0
Junge Liberale JuLis Erfurt	Junge Liberale (JuLis) Erfurt	347832572265719	Facebook	35_44	35-44	DE	Germany	1	1	13	0	1	0
Witold Pahl	Sikker sp. z o.o.	1643994439224385	Facebook	35_44	35-44	DE	Germany	1	1	11	2	0	0
Jeroen Lenaers	Jeroen Lenaers	316960281776479	Facebook	35_44	35-44	DE	Germany	2	1	4	0	0	0
Alain Mertes	Vivant Ostbelgien	168912413949537	Facebook	35_44	35-44	DE	Germany	1	1	4	0	0	0
Gary Diderich	Gary Diderich	73144437219	Facebook	35_44	35-44	DE	Germany	1	1	1	0	0	0
