advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Hope and Homes for Children Romania		117904724960638	Facebook	braila_county	Brăila County	RO	Romania	1	1	4	2	0	0
VICE România		962483620442593	Facebook	braila_county	Brăila County	RO	Romania	1	1	4	0	0	0
PRO România	Networld IT&C SRL	2177244962290894	Facebook	braila_county	Brăila County	RO	Romania	2	1	3	0	0	0
Dragoș Bistriceanu		1009385839272299	Facebook	braila_county	Brăila County	RO	Romania	4	1	3	0	0	0
Federația Patronală Petrol și Gaze		137651470305528	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	1	0	0
Paul Andrei		595117717334651	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	0	0	0
Adrian George Coman		249662829048725	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	0	0	0
Sursa Politica		376677442921119	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	1	0	0
Mihaela Voicilă , secretar de stat		449000608883450	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	0	0	0
Alberto Alemanno		179635265973968	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	1	0	0
Europe Together		140105536131109	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	1	0	0
Trans.INFO - transport, trucking and logistics news		310372402769384	Facebook	braila_county	Brăila County	RO	Romania	2	1	3	0	0	0
Transylvania NOW		1067238850277845	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	0	0	0
Arte		656089814494677	Facebook	braila_county	Brăila County	RO	Romania	4	1	3	1	0	0
HotNews		2234793453251840	Facebook	braila_county	Brăila County	RO	Romania	2	1	3	1	0	0
ReInvent Life		974099909446130	Facebook	braila_county	Brăila County	RO	Romania	2	1	3	1	0	0
Peter Costea		407413792695356	Facebook	braila_county	Brăila County	RO	Romania	2	1	3	1	0	0
Deodorant Natural Ben&Anna		984332281760140	Facebook	braila_county	Brăila County	RO	Romania	2	1	3	0	0	0
ALDE Giurgiu		463507610853279	Facebook	braila_county	Brăila County	RO	Romania	2	1	3	0	0	0
România Puternică		2114711428542300	Facebook	braila_county	Brăila County	RO	Romania	1	1	3	0	0	0
