advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
USR Sântămăria-Orlea	Uniunea Salvați România - USR	404903797002546	Facebook	100_1k	100 - 1k	RO	Romania	1	1	99999	50000	209	105
USR Petrila	Uniunea Salvați România - USR	430379350836985	Facebook	100_1k	100 - 1k	RO	Romania	1	1	99999	50000	209	105
Siegfried Muresan	ETIS Design	731035500293728	Facebook	100_1k	100 - 1k	RO	Romania	1	1	99998	49999	209	105
Daniel Ștefan Drăgulin	ETIS Design	212143985823109	Facebook	100_1k	100 - 1k	RO	Romania	1	1	99998	49999	209	105
USR Ilfov	USR Ilfov	1871260176434584	Facebook	100_1k	100 - 1k	RO	Romania	2	1	99998	20000	419	210
USR Zalău	Uniunea Salavati Romania Filiala Salaj	260094808237890	Facebook	100_1k	100 - 1k	RO	Romania	2	1	96520	33260	258	114
Departamentul pentru Afaceri Interne PSD	Partidul Social Democrat	797044747344438	Facebook	100_1k	100 - 1k	RO	Romania	1	1	93043	46521	48	9
PMP TV	Amerisoft	958364000868431	Facebook	100_1k	100 - 1k	RO	Romania	1	1	93042	46521	48	9
Ziare Neamț	Media PR Grup	471673660019608	Facebook	100_1k	100 - 1k	RO	Romania	2	1	73259	14652	258	114
Radu Mihaiu	Mihaiu Radu-Nicolae	689386518104305	Facebook	100_1k	100 - 1k	RO	Romania	2	1	73259	14652	258	114
Narcis George Matache	Narcis-George Matache	549972828403233	Facebook	100_1k	100 - 1k	RO	Romania	2	1	69781	27913	97	19
Winkler Gyula	Winkler Iuliu	1560147330888040	Facebook	100_1k	100 - 1k	RO	Romania	2	1	69781	27913	97	19
Cristian Chirteș	EUROPA DNS	309525925854654	Facebook	100_1k	100 - 1k	RO	Romania	3	1	69781	13956	146	29
