advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Anna Karwot - Polityk	Cityboard Media Sp. z o.o.	287671955182458	Facebook	w020	Week 20	PL	Poland	2	1	99897	19979	231	46
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	w020	Week 20	PL	Poland	3	1	98332	32916	166	29
Edukacja dla Dobrego Klimatu	Wojciech Makowski	798249970192065	Facebook	w020	Week 20	PL	Poland	10	1	94888	21775	411	46
Anita Sowińska	KW Wiosna Roberta Biedronia	2154797738169705	Facebook	w020	Week 20	PL	Poland	4	1	93775	21707	320	59
Izabela Kloc	Komitet Wyborczy Prawo i Sprawidliwość	171128483067743	Facebook	w020	Week 20	PL	Poland	6	1	92645	18263	260	38
Krzysztof Sitarski Poseł na Sejm RP	Krzysztof Serafin Sitarski	897838423640166	Facebook	w020	Week 20	PL	Poland	11	1	90964	21818	208	19
Joanna Sekuła - Kandydatka do Parlamentu Europejskiego	KKW Koalicja Europejska PO PSL SLD .N Zieloni 	797920373599555	Facebook	w020	Week 20	PL	Poland	3	1	88330	17666	61	0
Marcin Walasek	Marcin Walasek	411040156345710	Facebook	w020	Week 20	PL	Poland	5	1	84995	26000	115	0
Dr Zbigniew Girzyński	KW Prawo i Sprawiedliwość	195400413904081	Facebook	w020	Week 20	PL	Poland	2	1	83331	16666	271	100
Sebastian Kaleta	KW Prawo i Sprawiedliwość	1643686859194259	Facebook	w020	Week 20	PL	Poland	3	1	83331	16666	309	131
Witold Stępień		885512231530945	Facebook	w020	Week 20	PL	Poland	1	1	79999	40000	465	93
Andrzej Halicki	. KKW Koalicja Europejska PO PSL SLD .N Zieloni	370319116027	Facebook	w020	Week 20	PL	Poland	14	1	79491	20333	292	23
Zbigniew Kuźmiuk		286259248181285	Facebook	w020	Week 20	PL	Poland	2	1	74999	30000	116	23
Katarzyna Stachowicz - Radna Województwa Śląskiego	Katarzyna Karolina Stachowicz	355335447987852	Facebook	w020	Week 20	PL	Poland	4	1	74992	20999	185	23
Jacek Protas	KKW Koalicja Europejska PO PSL SLD .N Zieloni 	130955346972893	Facebook	w020	Week 20	PL	Poland	6	1	73328	17666	107	0
PARDA Błażej Łukasz	Błażej Łukasz Parda	783039918472235	Facebook	w020	Week 20	PL	Poland	6	1	69512	14333	197	35
