advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Greenpeace Polska		32104614789	Facebook	50k_100k	50k - 100k	NL	Netherlands	4	1	2115	1057	3	0
LegacyFx		966644110116765	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1995	997	4	2
Coconut Bowls		451945511677873	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1867	933	1	0
Florida Invest		1757174107834441	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1863	931	8	1
World Bank		153371894688575	Facebook	50k_100k	50k - 100k	NL	Netherlands	5	1	1745	872	7	1
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1433	716	7	1
FT Transact		643057169228509	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1364	682	7	1
Québec International		463810574128051	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1363	681	4	0
Scandinavian Enviro Systems		327110574829848	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1270	635	1	0
NOFIR - bringing value to marine waste		467976939969473	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	1208	604	1	0
BonneGueule		140324089470	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	1181	590	5	1
Gaia		182073298490036	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1175	587	10	5
On Your Sleeve	ON YOUR SLEEVE	247943179229148	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1099	549	0	0
Chug Bottles		1781974005205686	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	1064	532	1	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	50k_100k	50k - 100k	NL	Netherlands	7	1	1048	524	3	0
Wasabi -Learn Japanese Online-		1520460718232403	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	992	496	8	4
Greens/EFA in the European Parliament		150527751674751	Facebook	50k_100k	50k - 100k	NL	Netherlands	4	1	913	456	3	0
Giving Brush		1945237355733646	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	871	435	3	0
GUE/NGL		164355333623231	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	849	424	4	0
I Love Crowdfunding Projects		112683756154005	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	808	404	3	0
MasterClass		687589164666184	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	753	376	3	0
Dean Graziosi		17457692073	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	753	376	3	0
The Epoch		218371925673146	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	748	374	0	0
Minority SafePack		532492010145546	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	678	339	0	0
Vegas Live Community		1024725667661429	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	675	337	30	6
Stoke Travel		193334324519	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	668	334	0	0
iranwire.com ایران وایر		214009095412166	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	621	310	0	0
Vlaams Belang Jongeren		203903005659	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	603	301	3	0
