advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Davor Nađi		1640498249359280	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	169	33	2	0
ETUC		129041250601685	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	165	82	0	0
Slobodni Infocentar Zagreb		1741621996163657	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	159	24	5	0
Telegram.hr		688325737947866	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	151	30	3	0
Noema Dekleva - Tupperware Voditeljica skupine		408431992646564	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	150	30	2	0
MmosWorld		1262271977168621	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	146	73	0	0
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	144	45	0	0
Gordan Ponjavić Gale		296502741126610	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	142	28	2	0
Golden Renewable Energy		1256218774533782	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	138	27	0	0
Animal Matters	Animal Matters	1439364926329185	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	127	41	0	0
EU Civil Protection & Humanitarian Aid - ECHO		146955527905	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	126	25	0	0
Pokret Otoka / Island Movement		1728560254082852	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	126	63	1	0
Russian Embassy		451814155349320	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	125	25	2	0
I Hate Bernie Sanders		105344429817836	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	123	61	0	0
eToro		193863317737	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	9	1	122	56	0	0
Erasmus Student Network		25226723130	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	109	54	0	0
Hrvatski suverenisti		2305130156436757	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	107	0	9	0
Varaždin for European Youth Capital 2022		158733138231429	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	99	19	1	0
Save the Refugees		1931458237163388	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	98	39	0	0
Deutschland.de		31292782350	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	96	19	0	0
Fire Safe Europe - FSEU		238789186294640	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	96	19	0	0
Perdurabo		380940568683973	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	93	46	0	0
Minority SafePack		532492010145546	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	92	19	0	0
Tunis Forum on Gender Equality		362993680952642	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	91	45	0	0
Green Economy Congress		345051752533606	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	90	18	1	0
Dalibor Dado Milas		281684225836803	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	89	17	0	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	5	1	87	30	0	0
Avon Worldwide		216741958412414	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	87	43	0	0
Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής		337788662974718	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	86	17	0	0
Ircycle		530634984063711	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	86	17	0	0
Le Monde		14892757589	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	86	40	0	0
Orbex		1415953441956155	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	83	16	0	0
