country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	Jobbik Tatabányai Alapszervezete	Jobbik Magyarországért Mozgalom	394202917295361	Facebook	2	1	14998	6000	34	17
HU	Hungary	Jobbik Pécs	Jobbik  Magyarországért Mozgalom	176397072377393	Facebook	2	1	14998	6000	30	6
HU	Hungary	Jobbik Füzesgyarmat		331297250834054	Facebook	2	1	14998	6000	30	6
HU	Hungary	Jobbik Hajdúdorog		1659815654243423	Facebook	2	1	14998	6000	30	6
HU	Hungary	Tuzson Bence		161361167407820	Facebook	2	1	14998	6000	61	30
HU	Hungary	Érdi MSZP		178976562142933	Facebook	2	1	14998	5999	46	18
HU	Hungary	Jánoshalma Jobbik		699228413539524	Facebook	2	1	14998	6000	30	6
HU	Hungary	Süli János		188342355087955	Facebook	2	1	14998	6000	30	6
HU	Hungary	Fidesz Baja és térsége		1841762536142249	Facebook	2	1	14998	6000	30	6
HU	Hungary	Havasi Gábor - Momentum	Havasi Gábor	618962048554434	Facebook	3	1	14997	3000	46	9
HU	Hungary	Jobbik Nagykáta		905713946119010	Facebook	3	1	14997	3000	46	9
HU	Hungary	Romedia Foundation		188058334568430	Facebook	2	1	14997	5999	176	0
HU	Hungary	Jobbik Karcag	Jobbik Magyarországért Mozgalom	815734351771561	Facebook	6	1	14994	5000	34	16
HU	Hungary	LMP Csongrád megye		228214933860343	Facebook	3	1	14989	2998	46	9
HU	Hungary	Alberto Alemanno		179635265973968	Facebook	2	1	14870	6406	18	0
HU	Hungary	Talking Europe		316028505828375	Facebook	3	1	14864	6322	44	7
HU	Hungary	Academia Miralles		689587734460685	Facebook	1	1	14772	2954	147	29
HU	Hungary	Give A Vote		2186129244970085	Facebook	2	1	14668	5868	14	2
HU	Hungary	Székely Nemzeti Tanács		475728132612518	Facebook	1	1	14345	2869	5	0
HU	Hungary	Europeana.eu		10261403667	Facebook	2	1	13412	5900	10	1
HU	Hungary	ALTA Music Foundation		683583671653628	Facebook	1	1	13030	2606	115	23
HU	Hungary	Jobbik Magyarországért Mozgalom - ÓZD	Jobbik Magyarországért Mozgalom	113050942184693	Facebook	4	1	12996	5000	33	15
HU	Hungary	Afrikáért Alapítvány / Foundation for Africa / Fondation pour l'Afrique		225329302131	Facebook	5	1	12995	2000	37	8
HU	Hungary	WhyEurope		1790357474516500	Facebook	2	1	12282	2456	42	0
HU	Hungary	Index in English		1969401936694372	Facebook	1	1	12108	2421	37	7
HU	Hungary	Jobbik Szolnok	Jobbik Magyarországért Mozgalom	190332814329156	Facebook	3	1	11997	5000	34	16
HU	Hungary	Lehet Más a Jövő		1593028000946631	Facebook	4	1	11996	2000	31	6
HU	Hungary	Kerpel-Fronius Gábor - Momentum		2426357824103084	Facebook	4	1	11995	1999	49	10
HU	Hungary	Tata Jobbik	Jobbik Magyarországért Mozgalom	247207818657750	Facebook	8	1	11992	1000	42	19
HU	Hungary	LIKE APP		272972103180159	Facebook	1	1	11992	4797	10	2
HU	Hungary	United World İnternational		200522684002297	Facebook	3	1	11775	5550	107	0
HU	Hungary	MasterClass		687589164666184	Facebook	3	1	11601	5800	51	10
HU	Hungary	FontBundles.net		1653056048283270	Facebook	3	1	11424	4763	54	9
HU	Hungary	Momentum - Nyíregyháza		372901439893199	Facebook	3	1	10997	2000	199	0
HU	Hungary	Jobbik Szentes	Jobbik Magyarországért Mozgalom	1416202498621242	Facebook	3	1	10997	2000	31	6
HU	Hungary	Demokratikus Koalíció XV.kerület		174943252597541	Facebook	3	1	10997	2000	34	7
HU	Hungary	Paróczai Anikó		1953380668110489	Facebook	3	1	10997	2000	34	7
HU	Hungary	Riz Gábor		1890585691195036	Facebook	3	1	10984	1997	18	4
HU	Hungary	Euro-Atlantic Center		224951796186	Facebook	1	1	10068	2013	19	0
HU	Hungary	MEDAL display		1490537417901414	Facebook	2	1	10031	2011	19	0
HU	Hungary	Jobbik Székesfehérvár	Jobbik Magyarországért Mozgalom	507770156428463	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Hajdúböszörmény	Jobbik Magyarországért Mozgalom	1563931520502821	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Esztergomi Szervezete	Jobbik Magyarországért Mozgalom	1516662468574808	Facebook	1	1	9999	5000	30	15
HU	Hungary	Oroszlány Jobbik	Jobbik Magyarországért Mozgalom	1274960855854417	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Monor	Jobbik Magyarországért Mozgalom	1481267218803556	Facebook	1	1	9999	5000	30	15
HU	Hungary	Nagykőrösi Jobbik	Jobbik Magyarországért Mozgalom	230385473835360	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Kaposvár	Jobbik Magyarországért Mozgalom	2389034618008476	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Magyarországért Mozgalom Siófoki Alapszervezet	Jobbik Magyarországért Mozgalom	768563546515707	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Magyarországért Mozgalom Dombóvár	Jobbik Magyarországért Mozgalom	778565772343576	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Szombathely	Jobbik Magyarországért Mozgalom	245725802156819	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Magyarországért Mozgalom - Pápa szimpatizánsi oldala	Jobbik Magyarországért Mozgalom	798780410217282	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Zalaegerszegi Alapszervezet	Jobbik Magyarországért Mozgalom	411786392344398	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Nagykanizsa	Jobbik Magyarországért Mozgalom	428494303918290	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Salgótarján	Jobbik Magyarországért Mozgalom	2302679173281077	Facebook	1	1	9999	5000	30	15
HU	Hungary	Jobbik Vésztő	Jobbik Magyarországért Mozgalom	391980391353015	Facebook	1	1	9999	5000	15	3
HU	Hungary	Jobbik Fehérgyarmat	Jobbik Magyarországért Mozgalom	421378201739890	Facebook	1	1	9999	5000	15	3
HU	Hungary	Jobbik Fegyvernek	Jobbik Magyarországért Mozgalom	875264412804479	Facebook	1	1	9999	5000	15	3
HU	Hungary	Jobbik Battonya	Jobbik Magyarországért Mozgalom	1330658450308145	Facebook	1	1	9999	5000	15	3
HU	Hungary	Jobbik Encs	Jobbik Magyarországért Mozgalom	470618963036683	Facebook	1	1	9999	5000	15	3
HU	Hungary	Jobbik Dévaványa	Jobbik Magyarországért Mozgalom	889176921151774	Facebook	1	1	9999	5000	15	3
