advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
boopan.de		283495392303532	Facebook	carinthia_AT	Carinthia, Austria	2	1	70	12	2	0
DCT Kontaktbüro		444505108929681	Facebook	carinthia_AT	Carinthia, Austria	2	1	69	12	1	0
World Transformation Movement		372125409639	Facebook	carinthia_AT	Carinthia, Austria	4	1	68	13	0	0
Steffi Burkhart Sprachrohr der Generation Y		217171198469091	Facebook	carinthia_AT	Carinthia, Austria	6	1	68	0	6	0
Wandel		441927269154538	Facebook	carinthia_AT	Carinthia, Austria	2	1	68	0	6	0
Treevotion		312276899356713	Facebook	carinthia_AT	Carinthia, Austria	7	1	68	9	0	0
Good news for you · Das Nachrichten-Portal für ein besseres Leben		392672301072514	Facebook	carinthia_AT	Carinthia, Austria	1	1	67	13	1	0
Redfish		349920542118450	Facebook	carinthia_AT	Carinthia, Austria	4	1	65	27	0	0
Quantum-Systems GmbH		344199252427633	Facebook	carinthia_AT	Carinthia, Austria	1	1	64	12	1	0
FFF		410836789472903	Facebook	carinthia_AT	Carinthia, Austria	1	1	63	12	1	0
SONNENTOR		203708287906	Facebook	carinthia_AT	Carinthia, Austria	1	1	60	0	5	0
russland.RU		232261169587	Facebook	carinthia_AT	Carinthia, Austria	2	1	60	30	0	0
Treu im Glauben		474406869353492	Facebook	carinthia_AT	Carinthia, Austria	1	1	60	12	1	0
Gemeinsam mehr erreichen		491602047940332	Facebook	carinthia_AT	Carinthia, Austria	1	1	59	11	1	0
Save the Refugees		1931458237163388	Facebook	carinthia_AT	Carinthia, Austria	1	1	58	23	0	0
Rote_Linie		334233373885372	Facebook	carinthia_AT	Carinthia, Austria	1	1	58	0	5	0
Patagonia		200254747130034	Facebook	carinthia_AT	Carinthia, Austria	1	1	58	29	0	0
Selenacup		695110977328384	Facebook	carinthia_AT	Carinthia, Austria	2	1	54	25	0	0
Européens Sans Frontières		668031516635463	Facebook	carinthia_AT	Carinthia, Austria	5	1	54	22	0	0
Made In Germany Podcast		395064341264370	Facebook	carinthia_AT	Carinthia, Austria	2	1	54	13	0	0
Haydi Tatile		2107340192658838	Facebook	carinthia_AT	Carinthia, Austria	2	1	54	10	0	0
IKEA		142891909125544	Facebook	carinthia_AT	Carinthia, Austria	1	1	53	0	5	0
Frische und Natur		653138285068637	Facebook	carinthia_AT	Carinthia, Austria	2	1	52	10	1	0
Oceans Apart It		331442744076069	Facebook	carinthia_AT	Carinthia, Austria	1	1	50	10	1	0
Börsen Radio Network AG		248706418994836	Facebook	carinthia_AT	Carinthia, Austria	1	1	50	0	4	0
Kerle.reisen		1649566041947996	Facebook	carinthia_AT	Carinthia, Austria	2	1	50	7	1	0
Quinyx		631950203920378	Facebook	carinthia_AT	Carinthia, Austria	1	1	50	0	5	0
SuperBee Wax Wraps		207082576296571	Facebook	carinthia_AT	Carinthia, Austria	5	1	48	11	0	0
WTL - Wegbegleiter im Dschungel der Wirtschaft		164807420214226	Facebook	carinthia_AT	Carinthia, Austria	2	1	48	9	0	0
5Pillars	5 Pillars	490858150969676	Facebook	carinthia_AT	Carinthia, Austria	2	1	47	23	0	0
European Youth		130456876990360	Facebook	carinthia_AT	Carinthia, Austria	2	1	46	23	0	0
The Epoch		218371925673146	Facebook	carinthia_AT	Carinthia, Austria	5	1	46	13	0	0
World Bank		153371894688575	Facebook	carinthia_AT	Carinthia, Austria	9	1	45	19	0	0
Kitesurf-Shirts		257303411882076	Facebook	carinthia_AT	Carinthia, Austria	1	1	45	9	0	0
Liberale Gamer		152383062102549	Facebook	carinthia_AT	Carinthia, Austria	1	1	45	9	0	0
Vadim Rotari		516538278845787	Facebook	carinthia_AT	Carinthia, Austria	2	1	44	9	0	0
Veranstaltungszentrum FORUM		120310799687	Facebook	carinthia_AT	Carinthia, Austria	2	1	44	22	0	0
Österreichische Bundesbahnen (ÖBB)		146871548675617	Facebook	carinthia_AT	Carinthia, Austria	1	1	43	0	4	0
Hands on Veggies		158968251509151	Facebook	carinthia_AT	Carinthia, Austria	1	1	43	8	0	0
TrendingTopics.at		572101829598094	Facebook	carinthia_AT	Carinthia, Austria	1	1	43	0	4	0
Shopawra		733947680013655	Facebook	carinthia_AT	Carinthia, Austria	2	1	43	8	0	0
Fresenius Kabi		1352874084790500	Facebook	carinthia_AT	Carinthia, Austria	4	1	43	9	0	0
KTREW Tattoo		325901597566419	Facebook	carinthia_AT	Carinthia, Austria	1	1	42	8	0	0
Sample Market		504781446382209	Facebook	carinthia_AT	Carinthia, Austria	4	1	42	10	0	0
Dr. Ayça KAYA		312328182783290	Facebook	carinthia_AT	Carinthia, Austria	1	1	39	19	0	0
Die Tagespost - Katholische Zeitung für Politik, Gesellschaft und Kultur		319203018481983	Facebook	carinthia_AT	Carinthia, Austria	1	1	39	7	0	0
explainity		138506966218122	Facebook	carinthia_AT	Carinthia, Austria	1	1	38	7	0	0
