advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Lucia Greškovitsová - kandidátka do Európskeho parlamentu	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	410166249565947	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	625	125	1	0
Alojz Baránik Právo a Sloboda		1042738452407817	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	623	124	1	0
Alena Longauerová - eurokandidátka pre ľudí	Longauerova Alena	2304669143086323	Facebook	nitra_region	Nitra Region	SK	Slovakia	8	1	605	165	10	0
Ľubomír Šesták - volím č.8	Sestak Lubomir	713479689049720	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	588	251	7	0
Planet Lover		247320902648009	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	587	117	1	0
HLAS ĽUDU	Hlas ľudu	968070566734856	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	585	117	1	0
Kreatívny obchodík u Moniky		744298435676740	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	585	117	11	0
Demokratická strana		140675702940687	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	539	97	5	0
Voxpot		799083753454179	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	539	107	0	0
ZSE		212517858839474	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	530	265	5	0
Kulturblog		283490535707750	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	518	103	1	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	nitra_region	Nitra Region	SK	Slovakia	49	1	501	104	0	0
Lenka Humajová	Humajová Lenka	365779347344031	Facebook	nitra_region	Nitra Region	SK	Slovakia	5	1	501	159	9	0
Mladí SPOLU	Mladí SPOLU	189835675075869	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	456	91	0	0
Euro-Atlantic Center		224951796186	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	449	89	0	0
Televízne noviny TV Markíza		170612431409	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	368	55	26	0
Martina Šimkovičová		1646606078933836	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	342	171	3	0
Ivan Štefunko • Progresívne Slovensko		1664533523674012	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	334	77	1	0
Körkép		62854026816	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	332	142	7	0
Kapa12	Andrasko Daniel	462822114214686	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	269	0	26	0
Nika Zmrzlina		555691574591135	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	258	51	5	0
Dávid Béreš - Hnutie Sme rodina	JUDr.Béreš Dávid	288067018523437	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	255	78	4	0
Braňo Gigac	Gigac Branislav	1293379587429941	Facebook	nitra_region	Nitra Region	SK	Slovakia	5	1	229	74	3	0
Karol Ides váš kandidát do Európskeho parlamentu		252805985406935	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	229	0	22	0
Duhovy PRIDE Bratislava		240196611412	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	219	43	0	0
Jalal Suleiman		162588117182231	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	211	85	3	0
Jarmila Halgašová - vráťme pôde a potravinám ich dôležité miesto		290039217722349	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	207	41	4	0
www.iMeteo.sk		319962806492	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	197	98	1	0
EKO-drogéria Ecoterra Trnava		631546643720522	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	180	30	5	0
GymBeam		323552507766469	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	158	79	1	0
ma7.sk		186369975310202	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	143	0	14	0
Baby Prestige	Baby Prestige	601522679934581	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	135	27	2	0
noviny.sk - spravodajstvo TV JOJ		141402462565998	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	132	0	13	0
Slobodná Palestína		166325436744198	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	132	26	2	0
Spolu zvíťazíme - ako lepšie žiť	Puskar Peter	112242639386	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	124	21	3	0
Život seniora		383218932102842	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	123	24	2	0
Sóda		1632554420365677	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	123	24	2	0
Ján Figeľ		157269170961351	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	122	24	0	0
Tomi umývanie okien		425287467814935	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	120	24	2	0
Michal Gašaj		241143823389239	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	119	59	1	0
CBA / Potraviny Kačka		325880687992340	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	116	58	1	0
Chceme lepšie zdravotníctvo - stránka nespokojných pacientov		2064276293890909	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	109	21	2	0
Slovenské Hnutie Obrody		105028701836	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	108	21	2	0
Českoaktuálně.cz		1609110509368821	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	105	18	3	0
IGO bottle		588626198197868	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	103	26	0	0
Travelistan		986844411375486	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	100	50	0	0
Lukáš Machala		1642957825977961	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	98	49	0	0
Climate Save Slovakia		1261714107315673	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	94	47	0	0
Anna Zaborska - Kresťanská únia	Kresťanská únia	664771476880455	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	92	35	1	0
Robko.eu		359226035005944	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	91	18	1	0
Prírodné zdroje hnutie Sme Rodina Boris Kollár		1137247293093240	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	90	45	0	0
Alena Harvanová		416150922285114	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	87	14	2	0
Double Red		115704971836114	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	85	17	1	0
Expres.cz		1477502522567102	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	84	6	0	0
Miloslav Valko		326063564662023	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	84	13	3	0
Naša voľba	Naša voľba	175203236178487	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	81	40	0	0
Friedrich-Ebert-Stiftung, Zastúpenie v Slovenskej republike		1779011449074677	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	76	15	1	0
Monika Uhlerová - viceprezidentka KOZ SR		150482942161820	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	76	15	1	0
Demokracia 2		106044426709236	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	75	37	0	0
Investconsult sro		471419949673645	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	71	14	1	0
Ivan Hopta		537988179608682	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	70	14	1	0
Neverím falošnému anjelovi		119950268136298	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	70	14	1	0
Zahraničná politika		285893305516	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	69	13	1	0
Remix Second Hand		822081914607041	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	69	13	1	0
Extra plus		101683139967492	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	68	13	1	0
Miroslav Číž	SMER - SD	656767181414163	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	66	13	1	0
Paula Freeman fitneso trenerė		192011335075176	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	65	13	1	0
Narovinu		1585453424863955	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	63	10	2	0
JUDr. Miroslav Radačovský, ex sudca - kandidát na poslanca EP		730919327293761	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	59	11	1	0
Café Európa		116570825042936	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	57	7	2	0
Bratislava bez náckov		208359292638697	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	56	28	0	0
Vodovodna		1795502810734839	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	56	11	1	0
Tribúna ľudu		385982881894037	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	56	11	1	0
Veronika Murková	SMER - SD	342623533051171	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	53	10	1	0
Tomáš Lukačovský		261468877561832	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	53	10	1	0
CHISTEE		208209426609776	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	53	0	5	0
Veronika Basta - Vaša poslankyňa v OZ obce Rovinka		2219686525023648	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	52	10	1	0
Odpady-portal.sk		283025969119	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	52	10	1	0
Robert Schuman Centre for Advanced Studies		176582089060752	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	51	10	1	0
Umelecká dielňa Ceferino		192812654612255	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	48	9	0	0
Csáky Pál		284516465058960	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	48	24	0	0
Progresívne Slovensko je Socialistická strana		353162348864715	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	46	9	0	0
Mladí proti fašizmu		571160823088196	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	45	9	0	0
Ökopolisz Alapítvány	Ökopolisz Alapítvány	244669668913278	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	41	20	0	0
Díky, čauko plasty		338985149869725	Facebook	nitra_region	Nitra Region	SK	Slovakia	3	1	40	7	1	0
Veterinárna nemocnica Anima - Žilina		205244036326304	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	40	20	0	0
