advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Robko.eu		359226035005944	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Bauer Ildikó		269221090588670	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Život v Trnave je bez hazardu lepší		1677555249056361	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Život v Košiciach je bez hazardu lepší		385888948844140	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Travel Health Clinic		614442422316787	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Ľubomír Šesták		167280057181066	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Anton Martvoň	Martvon Anton	351452264866192	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
Pavel Macko SPOLU - občianska demokracia	SPOLU - občianska demokracia	489291478219770	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	99	0
Spolu zvíťazíme - ako lepšie žiť	Puskar Peter	112242639386	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
.týždeň		89147726543	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
Branislav Škripek		498701220263973	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	99	0
Karol Farkašovský	Farkašovský Karol	239398722928942	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
Dušan Šándor - Váš zástupca v Európskom parlamente		350764848876135	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	99	0
VOT.sk		1925838304322744	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
Jaro Naď - OĽANO		295432564349839	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	99	0
STOP  Štátnej MAFIi		246435315881660	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
Viliam Novotný		1551879298397654	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
Jalal Suleiman		162588117182231	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	99	0
Klik.sk		423386238408026	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	3	0
ma7.sk		186369975310202	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	998	0	98	0
