advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kristdemokraterna i Gagnef	Kristdemokraterna Dalarna	273483286188959	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	1	0	0	0
Adnan Dibrani till Bryssel	Ghafari Sebastian	1308296045984813	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Moderaterna i Stenungsund	Renfors Anna Maria	488439967871997	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Kristdemokraterna i Örebro län	Cesar Eje Alexander	430535663641398	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Ydrenäs4EU	Ydrenas Hans Rickard	1538819782888095	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Caritas Sweden		119140545477108	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Arbetarekommunen	Persson Gunnar Henrik Haakan	2053389964962411	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	1	0	0	0
Erik Ciardi - en smålänning i Europa	Bengtsson Qvarnström Bert B Filip	228671011420851	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	1	0	0	0
Moderaterna Kungsbacka	Moderaterna Kungsbackakretsen	121182911263997	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	0	0	0	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	vastmanland_county	Västmanland County	SE	Sweden	17	1	0	0	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
Eric Luth	Eric Luth – Centerpartiet	757931234599499	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
The Good Show	Assur Stagliano Stefan Giuseppe	1923750267869320	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
Big News Buzz		125179374733697	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
Kristdemokraterna Vänersborg	Nilsson Anna Maria	1436550706597391	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	0	0	0	0
