advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Γιώργος Χατζημάρκος	Γιώργος Χατζημάρκος	2128150737398149	Facebook	82	1	3273918	915000	9318	300
Stadt Wien	Stadt Wien	110971788921077	Facebook	50	1	3243950	1139000	15850	2500
Oxfam Italia		150200761667597	Facebook	280	1	3240720	943000	35920	2600
China Xinhua News		338109312883186	Facebook	5	1	3199995	1500000	1152	178
LSAP	Lëtzebuerger Sozialistesch Aarbechterpartei	47216059667	Facebook	104	1	3197896	1027000	15096	1200
Greenpeace Magyarország		35634348348	Facebook	98	1	3175902	1231000	10384	525
Vereniging Eigen Huis		371735371563	Facebook	15	1	3169985	1284000	24485	5400
Petizioni.it		1410474395723679	Facebook	32	1	3164968	1364000	19668	4500
InFacts	InFacts	678120165658753	Facebook	98	1	3148902	849000	19327	2661
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	339	1	3139661	853000	20573	4639
Entega		198244400189055	Facebook	136	1	3134864	1008000	57564	12100
Stichting De Noordzee		128160633899802	Facebook	41	1	3132959	1325000	19259	3900
Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	113	1	3116887	960000	13287	800
350.org		12185972707	Facebook	84	1	3102916	803000	15235	1958
Pablo Iglesias	Unidas Podemos	414809308591481	Facebook	4	1	3099996	1550000	105496	21100
European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	9	1	3099991	1370000	1291	100
eToro		193863317737	Facebook	23	1	3090977	1314000	7901	1958
Europäische Kommission - Vertretung in Österreich		187626534620326	Facebook	18	1	3079982	1262000	4582	700
Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	101	1	3068899	1181000	13599	900
Aides énergétiques pour tous		789578834730248	Facebook	16	1	3064984	1256000	35684	8000
Fotografiska Stockholm		142320852554	Facebook	10	1	3054990	1331000	2221	500
TRT World		1559901027613381	Facebook	8	1	3049992	1460000	817	297
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	14	1	3049986	1330000	15486	5500
DOPRAVA		AR56197688563073024	Google	6	1	3030000	300000	61550	1150
Bundesregierung		768905426534529	Facebook	5	1	2999995	1300000	24995	5000
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	130	1	2979870	998000	40205	11260
Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	76	1	2971924	1022000	8724	300
Labour Future	Labour Future	112846662487263	Facebook	24	1	2970976	1316000	24041	4860
Tuxy		870667836405958	Facebook	13	1	2953987	1310000	13527	3450
Europäisches Parlament - Verbindungsbüro in Deutschland		294494163510	Facebook	45	1	2953955	1169000	15255	2700
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	212	1	2945788	796000	26588	1400
Esquerra Barcelona	Esquerra Barcelona	374070875952519	Facebook	25	1	2940975	1277000	14075	3500
Liberalerna	Liberalerna	132266740623	Facebook	101	1	2929899	977000	15877	4343
